Shot,Threshold,GT_Class,FSL_Class_0,FSL_Class_1,FSL_Class_2,FSL_Class_3,FSL_Unknown,GT_Total
1,0.3,Class_0,242,0,0,31,93,366
1,0.3,Class_1,67,3094,0,18,583,3762
1,0.3,Class_2,2,0,3355,107,507,3971
1,0.3,Class_3,0,0,0,1247,66,1313
1,0.35,Class_0,205,0,0,16,145,366
1,0.35,Class_1,47,2668,0,5,1042,3762
1,0.35,Class_2,0,0,3113,18,840,3971
1,0.35,Class_3,0,0,0,1114,199,1313
1,0.4,Class_0,174,0,0,2,190,366
1,0.4,Class_1,19,2353,0,1,1389,3762
1,0.4,Class_2,0,0,2795,0,1176,3971
1,0.4,Class_3,0,0,0,955,358,1313
1,0.45,Class_0,138,0,0,0,228,366
1,0.45,Class_1,9,2104,0,0,1649,3762
1,0.45,Class_2,0,0,2458,0,1513,3971
1,0.45,Class_3,0,0,0,791,522,1313
1,0.5,Class_0,108,0,0,0,258,366
1,0.5,Class_1,1,1814,0,0,1947,3762
1,0.5,Class_2,0,0,2098,0,1873,3971
1,0.5,Class_3,0,0,0,635,678,1313
1,0.55,Class_0,81,0,0,0,285,366
1,0.55,Class_1,0,1533,0,0,2229,3762
1,0.55,Class_2,0,0,1732,0,2239,3971
1,0.55,Class_3,0,0,0,492,821,1313
1,0.6,Class_0,55,0,0,0,311,366
1,0.6,Class_1,0,1248,0,0,2514,3762
1,0.6,Class_2,0,0,1324,0,2647,3971
1,0.6,Class_3,0,0,0,324,989,1313
1,0.65,Class_0,40,0,0,0,326,366
1,0.65,Class_1,0,949,0,0,2813,3762
1,0.65,Class_2,0,0,911,0,3060,3971
1,0.65,Class_3,0,0,0,220,1093,1313
1,0.7,Class_0,27,0,0,0,339,366
1,0.7,Class_1,0,605,0,0,3157,3762
1,0.7,Class_2,0,0,519,0,3452,3971
1,0.7,Class_3,0,0,0,154,1159,1313
1,0.75,Class_0,17,0,0,0,349,366
1,0.75,Class_1,0,314,0,0,3448,3762
1,0.75,Class_2,0,0,168,0,3803,3971
1,0.75,Class_3,0,0,0,91,1222,1313
1,0.8,Class_0,12,0,0,0,354,366
1,0.8,Class_1,0,123,0,0,3639,3762
1,0.8,Class_2,0,0,40,0,3931,3971
1,0.8,Class_3,0,0,0,41,1272,1313
1,0.85,Class_0,9,0,0,0,357,366
1,0.85,Class_1,0,26,0,0,3736,3762
1,0.85,Class_2,0,0,4,0,3967,3971
1,0.85,Class_3,0,0,0,16,1297,1313
1,0.9,Class_0,2,0,0,0,364,366
1,0.9,Class_1,0,1,0,0,3761,3762
1,0.9,Class_2,0,0,1,0,3970,3971
1,0.9,Class_3,0,0,0,4,1309,1313
10,0.3,Class_0,349,3,3,2,9,366
10,0.3,Class_1,16,3652,0,3,91,3762
10,0.3,Class_2,23,1,3634,53,260,3971
10,0.3,Class_3,2,0,0,1294,17,1313
10,0.35,Class_0,323,2,0,1,40,366
10,0.35,Class_1,2,3535,0,1,224,3762
10,0.35,Class_2,4,0,3443,11,513,3971
10,0.35,Class_3,1,0,0,1261,51,1313
10,0.4,Class_0,285,1,0,0,80,366
10,0.4,Class_1,1,3350,0,0,411,3762
10,0.4,Class_2,0,0,3138,1,832,3971
10,0.4,Class_3,0,0,0,1143,170,1313
10,0.45,Class_0,217,0,0,0,149,366
10,0.45,Class_1,1,3087,0,0,674,3762
10,0.45,Class_2,0,0,2671,0,1300,3971
10,0.45,Class_3,0,0,0,1049,264,1313
10,0.5,Class_0,154,0,0,0,212,366
10,0.5,Class_1,0,2593,0,0,1169,3762
10,0.5,Class_2,0,0,2014,0,1957,3971
10,0.5,Class_3,0,0,0,926,387,1313
10,0.55,Class_0,89,0,0,0,277,366
10,0.55,Class_1,0,2008,0,0,1754,3762
10,0.55,Class_2,0,0,1219,0,2752,3971
10,0.55,Class_3,0,0,0,695,618,1313
10,0.6,Class_0,27,0,0,0,339,366
10,0.6,Class_1,0,1372,0,0,2390,3762
10,0.6,Class_2,0,0,401,0,3570,3971
10,0.6,Class_3,0,0,0,398,915,1313
10,0.65,Class_0,0,0,0,0,366,366
10,0.65,Class_1,0,707,0,0,3055,3762
10,0.65,Class_2,0,0,20,0,3951,3971
10,0.65,Class_3,0,0,0,128,1185,1313
10,0.7,Class_0,0,0,0,0,366,366
10,0.7,Class_1,0,118,0,0,3644,3762
10,0.7,Class_2,0,0,0,0,3971,3971
10,0.7,Class_3,0,0,0,17,1296,1313
10,0.75,Class_0,0,0,0,0,366,366
10,0.75,Class_1,0,0,0,0,3762,3762
10,0.75,Class_2,0,0,0,0,3971,3971
10,0.75,Class_3,0,0,0,0,1313,1313
10,0.8,Class_0,0,0,0,0,366,366
10,0.8,Class_1,0,0,0,0,3762,3762
10,0.8,Class_2,0,0,0,0,3971,3971
10,0.8,Class_3,0,0,0,0,1313,1313
10,0.85,Class_0,0,0,0,0,366,366
10,0.85,Class_1,0,0,0,0,3762,3762
10,0.85,Class_2,0,0,0,0,3971,3971
10,0.85,Class_3,0,0,0,0,1313,1313
10,0.9,Class_0,0,0,0,0,366,366
10,0.9,Class_1,0,0,0,0,3762,3762
10,0.9,Class_2,0,0,0,0,3971,3971
10,0.9,Class_3,0,0,0,0,1313,1313
30,0.3,Class_0,355,4,2,2,3,366
30,0.3,Class_1,5,3672,0,1,84,3762
30,0.3,Class_2,31,1,3656,44,239,3971
30,0.3,Class_3,2,0,0,1292,19,1313
30,0.35,Class_0,337,3,1,1,24,366
30,0.35,Class_1,2,3561,0,0,199,3762
30,0.35,Class_2,10,0,3500,10,451,3971
30,0.35,Class_3,1,0,0,1256,56,1313
30,0.4,Class_0,303,3,0,0,60,366
30,0.4,Class_1,1,3391,0,0,370,3762
30,0.4,Class_2,0,0,3184,0,787,3971
30,0.4,Class_3,0,0,0,1138,175,1313
30,0.45,Class_0,253,0,0,0,113,366
30,0.45,Class_1,0,3150,0,0,612,3762
30,0.45,Class_2,0,0,2757,0,1214,3971
30,0.45,Class_3,0,0,0,1041,272,1313
30,0.5,Class_0,154,0,0,0,212,366
30,0.5,Class_1,0,2749,0,0,1013,3762
30,0.5,Class_2,0,0,2095,0,1876,3971
30,0.5,Class_3,0,0,0,943,370,1313
30,0.55,Class_0,48,0,0,0,318,366
30,0.55,Class_1,0,1825,0,0,1937,3762
30,0.55,Class_2,0,0,1328,0,2643,3971
30,0.55,Class_3,0,0,0,731,582,1313
30,0.6,Class_0,2,0,0,0,364,366
30,0.6,Class_1,0,1037,0,0,2725,3762
30,0.6,Class_2,0,0,531,0,3440,3971
30,0.6,Class_3,0,0,0,422,891,1313
30,0.65,Class_0,0,0,0,0,366,366
30,0.65,Class_1,0,288,0,0,3474,3762
30,0.65,Class_2,0,0,52,0,3919,3971
30,0.65,Class_3,0,0,0,111,1202,1313
30,0.7,Class_0,0,0,0,0,366,366
30,0.7,Class_1,0,1,0,0,3761,3762
30,0.7,Class_2,0,0,0,0,3971,3971
30,0.7,Class_3,0,0,0,3,1310,1313
30,0.75,Class_0,0,0,0,0,366,366
30,0.75,Class_1,0,0,0,0,3762,3762
30,0.75,Class_2,0,0,0,0,3971,3971
30,0.75,Class_3,0,0,0,0,1313,1313
30,0.8,Class_0,0,0,0,0,366,366
30,0.8,Class_1,0,0,0,0,3762,3762
30,0.8,Class_2,0,0,0,0,3971,3971
30,0.8,Class_3,0,0,0,0,1313,1313
30,0.85,Class_0,0,0,0,0,366,366
30,0.85,Class_1,0,0,0,0,3762,3762
30,0.85,Class_2,0,0,0,0,3971,3971
30,0.85,Class_3,0,0,0,0,1313,1313
30,0.9,Class_0,0,0,0,0,366,366
30,0.9,Class_1,0,0,0,0,3762,3762
30,0.9,Class_2,0,0,0,0,3971,3971
30,0.9,Class_3,0,0,0,0,1313,1313
5,0.3,Class_0,334,3,2,1,26,366
5,0.3,Class_1,22,3641,0,2,97,3762
5,0.3,Class_2,28,0,3514,56,373,3971
5,0.3,Class_3,4,0,0,1247,62,1313
5,0.35,Class_0,297,2,0,1,66,366
5,0.35,Class_1,11,3487,0,0,264,3762
5,0.35,Class_2,1,0,3211,7,752,3971
5,0.35,Class_3,1,0,0,1144,168,1313
5,0.4,Class_0,248,1,0,0,117,366
5,0.4,Class_1,2,3270,0,0,490,3762
5,0.4,Class_2,0,0,2614,0,1357,3971
5,0.4,Class_3,1,0,0,1054,258,1313
5,0.45,Class_0,193,0,0,0,173,366
5,0.45,Class_1,1,2890,0,0,871,3762
5,0.45,Class_2,0,0,1647,0,2324,3971
5,0.45,Class_3,0,0,0,950,363,1313
5,0.5,Class_0,152,0,0,0,214,366
5,0.5,Class_1,1,2117,0,0,1644,3762
5,0.5,Class_2,0,0,550,0,3421,3971
5,0.5,Class_3,0,0,0,805,508,1313
5,0.55,Class_0,101,0,0,0,265,366
5,0.55,Class_1,0,1229,0,0,2533,3762
5,0.55,Class_2,0,0,19,0,3952,3971
5,0.55,Class_3,0,0,0,638,675,1313
5,0.6,Class_0,65,0,0,0,301,366
5,0.6,Class_1,0,481,0,0,3281,3762
5,0.6,Class_2,0,0,0,0,3971,3971
5,0.6,Class_3,0,0,0,455,858,1313
5,0.65,Class_0,33,0,0,0,333,366
5,0.65,Class_1,0,26,0,0,3736,3762
5,0.65,Class_2,0,0,0,0,3971,3971
5,0.65,Class_3,0,0,0,276,1037,1313
5,0.7,Class_0,7,0,0,0,359,366
5,0.7,Class_1,0,0,0,0,3762,3762
5,0.7,Class_2,0,0,0,0,3971,3971
5,0.7,Class_3,0,0,0,127,1186,1313
5,0.75,Class_0,0,0,0,0,366,366
5,0.75,Class_1,0,0,0,0,3762,3762
5,0.75,Class_2,0,0,0,0,3971,3971
5,0.75,Class_3,0,0,0,32,1281,1313
5,0.8,Class_0,0,0,0,0,366,366
5,0.8,Class_1,0,0,0,0,3762,3762
5,0.8,Class_2,0,0,0,0,3971,3971
5,0.8,Class_3,0,0,0,1,1312,1313
5,0.85,Class_0,0,0,0,0,366,366
5,0.85,Class_1,0,0,0,0,3762,3762
5,0.85,Class_2,0,0,0,0,3971,3971
5,0.85,Class_3,0,0,0,0,1313,1313
5,0.9,Class_0,0,0,0,0,366,366
5,0.9,Class_1,0,0,0,0,3762,3762
5,0.9,Class_2,0,0,0,0,3971,3971
5,0.9,Class_3,0,0,0,0,1313,1313
